,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Description
42,Seredka,RU,2022-07-22 19:40:22,58.1584,28.1858,65.95,77.0,80.0,6.11,broken clouds
43,Rawson,AR,2022-07-22 19:40:24,-43.3002,-65.1023,43.41,33.0,100.0,6.06,overcast clouds
44,Padang,ID,2022-07-22 19:40:25,-0.9492,100.3543,77.94,87.0,96.0,4.14,overcast clouds
45,Baie-comeau,CA,2022-07-22 19:40:27,49.2168,-68.1489,74.88,69.0,20.0,9.22,few clouds
46,Verkhnyaya inta,RU,2022-07-22 19:41:31,65.9811,60.3094,44.69,81.0,78.0,9.06,broken clouds
47,Banff,CA,2022-07-22 19:41:33,51.1762,-115.5698,75.58,33.0,81.0,4.61,broken clouds
48,Rio cuarto,AR,2022-07-22 19:40:16,-33.1307,-64.3499,73.47,37.0,0.0,14.97,clear sky
49,Cape town,ZA,2022-07-22 19:40:31,-33.9258,18.4232,58.26,86.0,75.0,9.22,light rain
50,Wewak,PG,2022-07-22 19:41:38,-3.5534,143.6268,77.83,88.0,23.0,4.63,few clouds
51,Rio gallegos,AR,2022-07-22 19:41:40,-51.6226,-69.2181,39.25,60.0,0.0,25.32,clear sky
52,Kruisfontein,ZA,2022-07-22 19:41:41,-34.0033,24.7314,50.88,75.0,100.0,5.86,overcast clouds
53,Nagato,JP,2022-07-22 19:41:43,34.3833,131.2,72.95,88.0,83.0,4.59,broken clouds
54,Zaragoza,ES,2022-07-22 19:41:45,41.6561,-0.8773,81.05,51.0,0.0,24.16,clear sky
55,Ajdabiya,LY,2022-07-22 19:41:48,30.7554,20.2263,78.89,70.0,0.0,17.38,clear sky
56,Navahrudak,BY,2022-07-22 19:41:50,53.6,25.8333,65.46,82.0,0.0,4.65,clear sky
57,Ponta do sol,CV,2022-07-22 19:41:51,32.6667,-17.1,74.71,74.0,4.0,6.51,clear sky
58,Great falls,US,2022-07-22 19:39:31,47.5002,-111.3008,90.79,12.0,0.0,17.27,clear sky
59,Hovd,MN,2022-07-22 19:41:55,48.0056,91.6419,62.53,51.0,86.0,13.85,overcast clouds
60,Awbari,LY,2022-07-22 19:41:57,26.5921,12.7805,84.97,19.0,0.0,8.46,clear sky
61,Hattiesburg,US,2022-07-22 19:41:59,31.3271,-89.2903,88.25,74.0,100.0,6.91,overcast clouds
62,Taksimo,RU,2022-07-22 19:42:00,56.3444,114.8794,63.9,91.0,69.0,0.18,broken clouds
63,Anqiu,CN,2022-07-22 19:42:02,36.4342,119.1925,68.68,96.0,100.0,14.16,light rain
64,Luwuk,ID,2022-07-22 19:42:04,-0.9516,122.7875,76.73,92.0,63.0,6.11,broken clouds
65,Ribeira brava,CV,2022-07-22 19:42:06,32.65,-17.0667,74.71,77.0,4.0,6.91,clear sky
66,San carlos de bariloche,AR,2022-07-22 19:42:08,-41.1456,-71.3082,35.35,87.0,100.0,4.61,light rain and snow
67,Quesnel,CA,2022-07-22 19:42:10,52.9999,-122.5029,73.9,40.0,0.0,5.75,clear sky
68,Vysokogornyy,RU,2022-07-22 19:42:12,50.1167,139.15,54.57,99.0,100.0,2.35,overcast clouds
69,Coari,BR,2022-07-22 19:42:14,-4.085,-63.1414,82.69,72.0,77.0,0.11,broken clouds
70,Burgos,ES,2022-07-22 19:42:16,42.3394,-3.7079,61.21,82.0,40.0,18.41,scattered clouds
71,Inhambane,MZ,2022-07-22 19:42:18,-23.865,35.3833,62.58,94.0,20.0,0.0,few clouds
72,Nangomba,TZ,2022-07-22 19:42:20,-10.9,38.5,71.74,62.0,90.0,6.4,overcast clouds
73,Ludwigsfelde,DE,2022-07-22 19:42:22,52.3,13.2667,72.0,70.0,0.0,8.05,clear sky
74,West bay,KY,2022-07-22 19:42:24,19.3667,-81.4167,90.07,77.0,20.0,13.8,few clouds
75,Springdale,CA,2022-07-22 19:42:25,36.1867,-94.1288,96.57,41.0,0.0,11.5,clear sky
76,Lavrentiya,RU,2022-07-22 19:38:56,65.5833,-171.0,41.38,91.0,100.0,11.61,light rain
77,Puerto ayora,EC,2022-07-22 19:41:00,-0.7393,-90.3518,80.56,84.0,59.0,10.0,broken clouds
78,Dengfeng,CN,2022-07-22 19:42:31,34.4553,113.0281,64.74,92.0,0.0,6.22,clear sky
79,Steinbach,CA,2022-07-22 19:42:34,50.1667,8.5667,80.11,44.0,0.0,6.91,clear sky
80,Nynashamn,SE,2022-07-22 19:42:36,58.9034,17.9479,66.16,92.0,99.0,6.76,overcast clouds
81,Aksu,KZ,2022-07-22 19:42:38,41.1231,80.2644,82.33,21.0,0.0,2.93,clear sky
82,Laela,TZ,2022-07-22 19:42:40,-8.5667,32.05,61.36,53.0,63.0,4.74,broken clouds
83,Aljezur,PT,2022-07-22 19:42:42,37.3191,-8.8033,68.58,73.0,2.0,7.92,clear sky
84,Mocuba,MZ,2022-07-22 19:42:44,-16.8392,36.9856,63.21,90.0,0.0,1.74,clear sky
85,Hamza,UZ,2022-07-22 19:42:46,40.4264,71.4956,85.95,13.0,0.0,4.07,clear sky
86,Quatre cocos,MU,2022-07-22 19:42:49,-20.2078,57.7625,70.09,77.0,10.0,16.37,light rain
87,Morganton,US,2022-07-22 19:39:14,35.7454,-81.6848,95.4,48.0,0.0,4.61,clear sky
88,Sorland,NO,2022-07-22 19:42:52,67.667,12.6934,49.86,88.0,100.0,23.38,overcast clouds
89,Turbat,PK,2022-07-22 19:42:54,26.0023,63.044,84.47,74.0,100.0,5.7,overcast clouds
90,Abu dhabi,AE,2022-07-22 19:42:56,24.4667,54.3667,100.51,61.0,0.0,6.91,clear sky
91,Sungaipenuh,ID,2022-07-22 19:42:58,-2.0833,101.3833,64.42,96.0,100.0,3.71,overcast clouds
92,San cristobal,EC,2022-07-22 19:38:52,7.7669,-72.225,80.78,52.0,72.0,6.73,broken clouds
93,Oytal,KZ,2022-07-22 19:44:01,42.9057,73.2697,80.67,23.0,0.0,2.95,clear sky
94,Riviere-du-loup,CA,2022-07-22 19:41:48,47.8304,-69.5342,77.27,61.0,55.0,8.05,broken clouds
95,Umarkot,PK,2022-07-22 19:44:04,25.3616,69.7362,86.97,71.0,100.0,17.38,light rain
96,Leningradskiy,RU,2022-07-22 19:44:06,69.3833,178.4167,34.66,91.0,99.0,8.08,overcast clouds
97,Neiafu,TO,2022-07-22 19:44:08,-18.65,-173.9833,66.88,94.0,40.0,0.0,scattered clouds
98,Naco,MX,2022-07-22 19:44:10,31.3347,-109.9483,93.76,37.0,97.0,6.02,overcast clouds
99,Smidovich,RU,2022-07-22 19:44:12,48.6,133.8167,58.46,86.0,63.0,6.13,broken clouds
100,Pangai,TO,2022-07-22 19:44:13,-19.8,-174.35,75.31,83.0,20.0,6.91,few clouds
101,Bethanien,NA,2022-07-22 19:44:16,-26.502,17.1583,60.85,29.0,16.0,5.03,few clouds
102,Mehamn,NO,2022-07-22 19:41:47,71.0357,27.8492,53.55,87.0,75.0,14.97,light intensity drizzle
103,Vaini,TO,2022-07-22 19:44:19,-21.2,-175.2,71.76,94.0,20.0,6.91,few clouds
104,Balkhash,KZ,2022-07-22 19:44:21,46.844,74.9804,77.05,33.0,29.0,14.41,scattered clouds
105,Bo phloi,TH,2022-07-22 19:44:23,14.3236,99.5161,75.31,90.0,100.0,4.65,moderate rain
106,Camanducaia,BR,2022-07-22 19:44:27,-22.7553,-46.1447,68.68,48.0,0.0,2.93,clear sky
107,Vardo,NO,2022-07-22 19:44:29,70.3705,31.1107,53.58,82.0,40.0,2.3,scattered clouds
108,Balykshi,KZ,2022-07-22 19:44:30,47.0667,51.8667,75.2,73.0,40.0,4.47,scattered clouds
109,Vieques,US,2022-07-22 19:44:32,18.425,-65.8329,86.88,74.0,40.0,18.41,haze
110,Chaohu,CN,2022-07-22 19:44:34,31.6,117.8667,80.71,87.0,100.0,6.33,overcast clouds
111,Podgornoye,RU,2022-07-22 19:44:36,51.735,39.1496,59.22,88.0,0.0,4.47,clear sky
112,Souillac,MU,2022-07-22 19:40:36,-20.5167,57.5167,70.18,83.0,75.0,12.66,broken clouds
113,Petropavlovka,RU,2022-07-22 19:44:39,50.6114,105.3196,54.16,97.0,100.0,3.62,overcast clouds
114,Sampit,ID,2022-07-22 19:44:41,-2.5333,112.95,72.99,99.0,45.0,0.6,scattered clouds
115,Dolzhanskaya,RU,2022-07-22 19:44:43,46.6311,37.8039,71.89,63.0,81.0,14.76,light rain
116,Nantucket,US,2022-07-22 19:44:45,41.2835,-70.0995,89.74,74.0,0.0,6.91,clear sky
117,Kargopol,RU,2022-07-22 19:44:47,61.5071,38.9456,63.54,74.0,81.0,5.19,broken clouds
118,Sirsi,IN,2022-07-22 19:44:48,14.6167,74.85,70.43,95.0,100.0,4.63,overcast clouds
119,Saint-ambroise,CA,2022-07-22 19:44:50,48.5501,-71.3324,79.12,53.0,70.0,4.61,broken clouds
120,Esperance,AU,2022-07-22 19:44:52,-33.8667,121.9,54.09,73.0,100.0,17.02,overcast clouds
121,Alice springs,AU,2022-07-22 19:44:54,-23.7,133.8833,44.15,53.0,0.0,0.0,clear sky
122,Jumla,NP,2022-07-22 19:44:56,29.2747,82.1838,63.52,97.0,100.0,0.69,overcast clouds
123,Omboue,GA,2022-07-22 19:44:57,-1.5746,9.2618,71.15,81.0,89.0,10.87,overcast clouds
124,Flinders,AU,2022-07-22 19:44:59,-34.5833,150.8552,52.18,93.0,58.0,5.99,broken clouds
125,Luganville,VU,2022-07-22 19:41:17,-15.5333,167.1667,77.95,86.0,38.0,9.8,heavy intensity rain
126,Itoman,JP,2022-07-22 19:45:05,26.1247,127.6694,84.97,87.0,40.0,11.5,light intensity drizzle
127,Port-gentil,GA,2022-07-22 19:42:24,-0.7193,8.7815,75.16,83.0,20.0,13.8,few clouds
128,Zyryanovsk,KZ,2022-07-22 19:45:09,49.7386,84.2719,55.67,91.0,0.0,2.01,clear sky
129,Ambilobe,MG,2022-07-22 19:45:10,-13.2,49.05,64.45,78.0,0.0,4.43,clear sky
130,Sola,VU,2022-07-22 19:45:12,-13.8833,167.55,80.46,78.0,59.0,14.92,broken clouds
131,Ust-nera,RU,2022-07-22 19:45:16,64.5667,143.2,68.13,71.0,92.0,5.41,overcast clouds
132,Vila,VU,2022-07-22 19:45:18,42.0304,-8.1588,63.48,51.0,0.0,6.42,clear sky
133,Ust-omchug,RU,2022-07-22 19:45:20,61.15,149.6333,56.48,68.0,58.0,1.72,broken clouds
134,Ames,US,2022-07-22 19:45:22,42.0347,-93.6199,94.06,47.0,0.0,13.8,clear sky
135,Port hueneme,US,2022-07-22 19:45:23,34.1478,-119.1951,95.25,70.0,0.0,9.22,clear sky
136,Des moines,US,2022-07-22 19:43:23,41.6005,-93.6091,94.3,39.0,20.0,14.97,few clouds
137,Clyde river,CA,2022-07-22 19:41:21,70.4692,-68.5914,55.63,62.0,75.0,16.11,broken clouds
138,Yellowknife,CA,2022-07-22 19:44:28,62.456,-114.3525,68.52,49.0,40.0,9.22,scattered clouds
139,Koumac,NC,2022-07-22 19:46:31,-20.5667,164.2833,75.42,88.0,99.0,9.71,overcast clouds
140,Geraldton,AU,2022-07-22 19:41:34,-28.7667,114.6,52.21,82.0,40.0,13.8,scattered clouds
141,Jinchang,CN,2022-07-22 19:46:35,38.4953,102.1739,69.58,37.0,0.0,7.25,clear sky
142,Erzin,RU,2022-07-22 19:42:18,36.9559,36.2,76.82,58.0,0.0,2.21,clear sky
143,Khao wong,TH,2022-07-22 19:46:38,16.7001,104.0902,75.0,92.0,100.0,2.39,overcast clouds
144,Sabzevar,IR,2022-07-22 19:46:42,36.2126,57.6819,90.68,18.0,0.0,13.8,clear sky
145,Dingle,IE,2022-07-22 19:46:44,10.9995,122.6711,76.32,92.0,86.0,4.74,overcast clouds
146,Batemans bay,AU,2022-07-22 19:46:45,-35.7167,150.1833,50.09,91.0,58.0,4.92,broken clouds
147,Rogaska slatina,SI,2022-07-22 19:46:47,46.2375,15.6397,79.99,56.0,0.0,2.75,clear sky
148,Quirinopolis,BR,2022-07-22 19:43:59,-18.4483,-50.4517,84.78,25.0,0.0,3.89,clear sky
149,Brae,GB,2022-07-22 19:46:51,60.3964,-1.353,51.71,76.0,100.0,8.81,overcast clouds
150,Ankazoabo,MG,2022-07-22 19:46:53,-22.2833,44.5167,63.09,54.0,44.0,2.71,scattered clouds
151,Bansi,IN,2022-07-22 19:46:55,27.1833,82.9333,84.97,70.0,100.0,12.06,overcast clouds
152,Druskininkai,LT,2022-07-22 19:46:57,54.0167,23.9667,69.89,80.0,3.0,5.73,clear sky
153,Camana,PE,2022-07-22 19:46:59,-16.6228,-72.7111,61.75,81.0,53.0,5.5,broken clouds
154,Bowen,AU,2022-07-22 19:47:01,-20.0167,148.2333,58.15,66.0,0.0,6.67,clear sky
155,Katsuura,JP,2022-07-22 19:47:03,35.1333,140.3,78.4,83.0,0.0,18.48,clear sky
156,Ayan,RU,2022-07-22 19:47:05,56.45,138.1667,58.55,90.0,55.0,5.99,broken clouds
157,Barrow,US,2022-07-22 19:47:06,71.2906,-156.7887,39.22,87.0,100.0,11.5,mist
158,Semirom,IR,2022-07-22 19:47:08,31.4167,51.5667,71.06,38.0,12.0,4.56,few clouds
159,Bethel,US,2022-07-22 19:47:10,41.3712,-73.414,95.04,40.0,0.0,10.36,clear sky
160,Hervey bay,AU,2022-07-22 19:43:15,-25.2986,152.8535,63.43,76.0,100.0,19.3,overcast clouds
161,Alofi,NU,2022-07-22 19:47:16,-19.0595,-169.9187,67.89,100.0,100.0,1.14,overcast clouds
162,Hobart,AU,2022-07-22 19:47:18,-42.8794,147.3294,51.26,84.0,100.0,8.05,overcast clouds
163,Ahipara,NZ,2022-07-22 19:42:39,-35.1667,173.1667,48.31,84.0,100.0,7.67,overcast clouds
164,Hilo,US,2022-07-22 19:47:21,19.7297,-155.09,84.27,88.0,100.0,6.91,overcast clouds
165,Broome,AU,2022-07-22 19:47:23,42.2506,-75.833,93.02,43.0,20.0,6.91,few clouds
166,Urusha,RU,2022-07-22 19:47:25,54.05,122.9,60.26,97.0,28.0,2.93,scattered clouds
167,Camacha,PT,2022-07-22 19:47:27,33.0833,-16.3333,67.42,68.0,75.0,16.11,broken clouds
168,Kavaratti,IN,2022-07-22 19:47:29,10.5669,72.642,81.16,81.0,100.0,19.13,overcast clouds
169,Kahului,US,2022-07-22 19:47:31,20.8947,-156.47,84.22,63.0,20.0,20.71,few clouds
170,Asau,TV,2022-07-22 19:47:34,46.4333,26.4,72.52,52.0,5.0,5.17,clear sky
171,Azare,NG,2022-07-22 19:47:36,11.6765,10.1948,80.33,69.0,100.0,6.96,overcast clouds
172,Matara,LK,2022-07-22 19:47:38,5.9485,80.5353,77.9,88.0,100.0,13.69,overcast clouds
173,Flin flon,CA,2022-07-22 19:45:44,54.7682,-101.865,58.84,72.0,100.0,3.44,smoke
174,Kenai,US,2022-07-22 19:47:41,60.5544,-151.2583,61.03,75.0,75.0,16.11,broken clouds
175,Kailua,US,2022-07-22 19:44:37,21.4022,-157.7394,84.18,70.0,75.0,11.5,broken clouds
176,Canmore,CA,2022-07-22 19:46:41,51.0834,-115.3521,76.48,33.0,80.0,4.61,broken clouds
177,Beloha,MG,2022-07-22 19:47:47,-25.1667,45.05,63.79,90.0,0.0,8.12,clear sky
178,Vao,NC,2022-07-22 19:47:49,-22.6667,167.4833,74.35,87.0,72.0,24.58,broken clouds
179,Aliwal north,ZA,2022-07-22 19:47:51,-30.6937,26.7114,51.82,40.0,3.0,4.65,clear sky
180,Ketchikan,US,2022-07-22 19:47:53,55.3422,-131.6461,63.07,72.0,75.0,8.05,broken clouds
181,Indianola,US,2022-07-22 19:47:55,41.3581,-93.5574,93.96,26.0,100.0,12.68,overcast clouds
182,Bluff,NZ,2022-07-22 19:47:57,-46.6,168.3333,33.8,85.0,11.0,7.2,few clouds
183,Kapaa,US,2022-07-22 19:48:00,22.0752,-159.319,80.92,75.0,40.0,12.66,scattered clouds
184,Kodiak,US,2022-07-22 19:48:02,57.79,-152.4072,56.71,51.0,0.0,6.91,clear sky
185,Lethem,GY,2022-07-22 19:49:04,3.3803,-59.7968,84.47,69.0,91.0,8.77,overcast clouds
186,Lufilufi,WS,2022-07-22 19:49:09,-13.8745,-171.5986,74.98,78.0,16.0,9.64,light rain
187,Nome,US,2022-07-22 19:49:11,64.5011,-165.4064,46.47,93.0,100.0,10.36,light rain
188,Busselton,AU,2022-07-22 19:49:13,-33.65,115.3333,58.84,82.0,40.0,19.13,scattered clouds
189,Karratha,AU,2022-07-22 19:49:15,-20.7377,116.8463,68.88,63.0,0.0,9.64,clear sky
190,Palmer,US,2022-07-22 19:48:27,42.1584,-72.3287,94.21,39.0,20.0,12.66,few clouds
191,Katherine,AU,2022-07-22 19:49:20,-14.4667,132.2667,50.32,57.0,2.0,8.05,clear sky
192,Sitka,US,2022-07-22 19:48:12,57.0531,-135.33,55.29,82.0,100.0,10.36,light rain
193,Lagoa,PT,2022-07-22 19:49:25,39.05,-27.9833,72.61,90.0,100.0,9.17,overcast clouds
194,Alpena,US,2022-07-22 19:47:59,45.0617,-83.4327,88.12,39.0,75.0,13.8,broken clouds
195,Hofn,IS,2022-07-22 19:48:15,64.2539,-15.2082,52.12,93.0,47.0,7.49,scattered clouds
196,Ashqelon,IL,2022-07-22 19:49:30,31.6693,34.5715,81.82,69.0,2.0,5.14,clear sky
197,Nanortalik,GL,2022-07-22 19:49:32,60.1432,-45.2371,49.37,78.0,19.0,3.15,few clouds
198,Isangel,VU,2022-07-22 19:49:34,-19.55,169.2667,76.05,85.0,100.0,10.83,light rain
199,Husavik,IS,2022-07-22 19:49:36,66.0449,-17.3389,51.08,83.0,43.0,4.09,scattered clouds
200,Lashio,MM,2022-07-22 19:49:37,22.9333,97.75,67.82,99.0,94.0,1.01,overcast clouds
201,Puerto carreno,CO,2022-07-22 19:49:40,6.189,-67.4859,87.78,66.0,40.0,6.91,scattered clouds
202,Solnechnyy,RU,2022-07-22 19:49:42,50.7214,136.6319,55.51,95.0,100.0,5.48,overcast clouds
203,Taltal,CL,2022-07-22 19:48:10,-25.4,-70.4833,58.98,79.0,100.0,2.42,overcast clouds
204,Bahia blanca,AR,2022-07-22 19:49:46,-38.7196,-62.2724,52.68,58.0,100.0,7.67,overcast clouds
205,Waterloo,SL,2022-07-22 19:45:55,43.4668,-80.5164,87.03,39.0,20.0,14.97,few clouds
206,Narsaq,GL,2022-07-22 19:45:40,60.9167,-46.05,64.62,61.0,56.0,4.85,broken clouds
207,Saint-joseph,RE,2022-07-22 19:49:51,-21.3667,55.6167,65.21,79.0,16.0,12.68,light rain
208,Mackenzie,CA,2022-07-22 19:45:44,55.2999,-123.1698,70.02,43.0,0.0,2.3,clear sky
209,Saint-leu,RE,2022-07-22 19:49:55,-21.15,55.2833,68.32,70.0,2.0,1.92,clear sky
210,Maragogi,BR,2022-07-22 19:49:37,-9.0122,-35.2225,74.71,84.0,100.0,10.78,overcast clouds
211,Pochutla,MX,2022-07-22 19:49:59,15.7432,-96.4661,82.81,68.0,99.0,6.31,overcast clouds
212,Bengkulu,ID,2022-07-22 19:50:01,-3.8004,102.2655,75.42,88.0,95.0,4.09,overcast clouds
213,Harstad,NO,2022-07-22 19:49:44,68.799,16.5293,52.16,99.0,99.0,21.0,overcast clouds
214,Paamiut,GL,2022-07-22 19:50:04,61.994,-49.6678,45.3,85.0,6.0,6.98,clear sky
215,Bend,US,2022-07-22 19:50:06,44.0582,-121.3153,82.33,24.0,0.0,8.05,clear sky
216,Portree,GB,2022-07-22 19:50:08,57.4129,-6.1942,57.52,87.0,100.0,2.26,overcast clouds
217,Tocopilla,CL,2022-07-22 19:48:09,-22.092,-70.1979,64.69,70.0,99.0,12.44,overcast clouds
218,Lusambo,CD,2022-07-22 19:50:12,-4.9667,23.45,80.87,36.0,84.0,1.59,broken clouds
219,Qaanaaq,GL,2022-07-22 19:50:13,77.484,-69.3632,41.34,86.0,99.0,9.04,light rain
220,Zhigansk,RU,2022-07-22 19:50:15,66.7697,123.3711,52.92,93.0,100.0,5.44,light rain
221,Ignacio zaragoza,MX,2022-07-22 19:50:17,28.3833,-107.2167,82.04,29.0,100.0,10.8,overcast clouds
222,Mount gambier,AU,2022-07-22 19:50:19,-37.8333,140.7667,51.06,97.0,100.0,9.01,moderate rain
223,Haines junction,CA,2022-07-22 19:50:21,60.7522,-137.5108,53.55,58.0,100.0,5.75,overcast clouds
224,Salalah,OM,2022-07-22 19:50:23,17.0151,54.0924,77.52,86.0,63.0,9.31,broken clouds
225,Saint-philippe,RE,2022-07-22 19:50:24,-21.3585,55.7679,66.22,83.0,40.0,12.77,light rain
226,Staryy nadym,RU,2022-07-22 19:50:26,65.6118,72.6842,45.52,95.0,100.0,6.31,overcast clouds
227,Olafsvik,IS,2022-07-22 19:50:28,64.8945,-23.7142,54.05,77.0,13.0,3.69,few clouds
228,Mount isa,AU,2022-07-22 19:50:30,-20.7333,139.5,40.77,65.0,0.0,2.3,clear sky
229,Marapanim,BR,2022-07-22 19:50:32,-0.7175,-47.6997,82.78,71.0,64.0,3.89,broken clouds
230,Sur,OM,2022-07-22 19:50:34,22.5667,59.5289,87.6,67.0,99.0,9.71,overcast clouds
231,Boshnyakovo,RU,2022-07-22 19:50:35,49.6333,142.1667,57.18,98.0,100.0,2.01,overcast clouds
232,Cabo san lucas,MX,2022-07-22 19:49:10,22.8909,-109.9124,99.61,57.0,86.0,8.63,overcast clouds
233,Sisimiut,GL,2022-07-22 19:51:39,66.9395,-53.6735,47.05,80.0,100.0,3.62,overcast clouds
234,Milazzo,IT,2022-07-22 19:51:41,38.2212,15.2383,82.98,69.0,0.0,1.01,clear sky
235,Morwa,IN,2022-07-22 19:51:43,22.9,73.8333,78.78,86.0,100.0,11.52,overcast clouds
236,Tasiilaq,GL,2022-07-22 19:51:45,65.6145,-37.6368,41.22,71.0,35.0,8.16,scattered clouds
237,Taitung,TW,2022-07-22 19:51:47,22.7583,121.1444,81.88,66.0,73.0,6.06,broken clouds
238,Celestun,MX,2022-07-22 19:51:49,20.8667,-90.4,86.05,68.0,35.0,14.29,scattered clouds
239,Srednekolymsk,RU,2022-07-22 19:51:51,67.45,153.6833,47.21,66.0,4.0,12.39,clear sky
240,Anajatuba,BR,2022-07-22 19:51:52,-3.2644,-44.6197,83.07,67.0,99.0,2.21,overcast clouds
241,Upernavik,GL,2022-07-22 19:49:42,72.7868,-56.1549,42.37,94.0,100.0,22.77,overcast clouds
242,Barra patuca,HN,2022-07-22 19:51:56,15.8,-84.2833,81.68,86.0,100.0,10.47,overcast clouds
243,Omsukchan,RU,2022-07-22 19:48:05,62.5333,155.8,53.65,45.0,44.0,3.51,scattered clouds
244,Santa rosa,AR,2022-07-22 19:48:46,14.3122,121.1114,82.38,85.0,78.0,5.01,broken clouds
245,Norman wells,CA,2022-07-22 19:52:01,65.282,-126.8329,71.64,60.0,75.0,8.05,broken clouds
